,Modified_Commentary
2802,"SIX, lovely shot, tossed up invitingly by Karn, batsman gets a big stride forward and lifts it through the line, long-on is just a spectator"
2803,"SIX, batsman is in a beastly mood tonight, lovely leg-break from Karn, slower and wider outside off, nearly did batsman in with the length. He had to lean forward, goes inside out and carves it over extra-cover, went sailing over the ropes for a maximum"
2804,"SIX, bowler is greeted with a maximum, dropped it short and on the stumps, batsman rocks back and pulls it over square leg, went sailing over the ropes for a maximum"
2805,"SIX, back-to-back sixes for batsman, pushed through flatter and just outside off, batsman gets forward and thumps it flat and hard over mid-wicket, went sailing over the ropes for another maximum"
2806,"SIX, third six of the over, this was tossed up wider of off, batsman gets forward and thumps it high and way over long-on for a maximum"
2807,"FOUR, and Mumbai take off with Punjab's momentum. Gets a delivery nipping onto the pads and tickles it away fine enough to go all the way"
2808,"FOUR, pouncing on the pace. Pouncing on the bounce. 142kays of it and Parthiv throws everything at it as he hacks it. And even a mistime is enough on this carpet to race it away into the fence - the mid-wicket one"
2809,"FOUR, more of the pace offered. This time Parthiv forces it through the line. 142kays again and a front footed smear through the covers. Ah, elegance all over it"
2810,"FOUR, make that three. Parthiv on a carnage. Pitched up further, more of the width and an invite to get back to the business of dispatching these away. Done with another full flowing cover drive"
2811,"FOUR, time for cliches, ""Fortune favours the brave"" chirps Laxman Sivaramakrishnan on air. Also, french cricket from Rana, goes for the almighty pull, the ball shapes in a touch, takes the inside edge and beats a diving Saha, who sprawled to his right. Runs away to the fence in a jiffy"
2812,"3 runs, Comedy. Chaos. Everything happening out there. batsman tucks it away towards mid-wicket and sets off for a second run. The fielder quickly gets to the ball, collects it and fires a throw at the non striker's end. There was an opportunity for a run-out had bowler taken it cleanly. He fumbles and Rana gets back in. They also sneak in an extra run as there was no proper backing up"
2813,"out Caught by Guptill!! Punjab are fighting back into this contest. A big, big wicket in the context of the game. Hold on! They are checking for a possible no-ball but he's fine and batsman has to continue the long walk back to the pavilion. The Mumbai skipper's destiny doesn't last long. Totally fails to connect this flatter delivery and ended up hitting it straight to Guptill at long-on. Too easy for him and he ain't dropping those. Stunned silence in the crowd. batsman c Guptill b bowler 5(7)"
2814,"out Caught by Guptill!! Gone! Another one bites the dust. Rana hasn't been in the best of touch lately and he departs cheaply today. bowler pushed it through quicker, perhaps Rana was hustled for pace. Went back and looked to clear deep mid-wicket but messes up with his timing. Skies it straight to Guptill near the rope and he gobbles it up nicely. batsman c Guptill b bowler 12(12) [4s-2]"
2815,"SIX, Pandya doesn't bother wasting any time. Sees a tossed up delivery in his arc, flexes his muscle and tonks it straight over the bowler's head"
2816,"SIX, batsman joins into the act. Tewatia drifted it wide of off but batsman managed to reach with his long levers and launches it straight down the ground"
2817,"SIX, spoils the over by conceding a six off the last ball. Lands it full in the arc for Pandya, he clears his front leg and smacks it over long-on. The fielder seemed in business for a while but it sailed over his head for a maximum"
2818,"SIX, this has gone some 10 rows back. Such is his power. Full and just outside off, batsman stands motionless and wallops it over long-on. Not off the middle but still soars over the ropes"
2819,"SIX, two in a row. Henry goes short, batsman is upto it in a flash. Spindles back and pulls it behind square. Goes all the way for a maximum"
2820,"SIX, a behemoth, gosh. Third six off the over. Henry bowls it full and outside off, Pandya bends his knee and lofts it handsomely over extra cover. All grace, elegance and class. Go watch a smooth wave caress the shore, this is that"
2821,"SIX, shambles, follows up with a full toss, Pandya ain't sparing those. Gets under it and murders it over long-on"
2822,"out Caught by Saha!! Has that been taken? It has. Up goes the umpire's finger. End of Pandya's cameo. Again bowled it full and outside off, Pandya threw his bat at it, gets an outside edge and flew to Saha. He flung to his right and pulled off a blinder. Is this the spark that can lighten Punjab back into this game? batsman c Saha b bowler 30(13) [6s-4]"
2823,"FOUR, it's a summer sale. batsman is making a joke of these boundaries. Sandeep misses his yorker, serves it up on a fuller length, batsman brings his bottom hand into effect, dumps it straight down the ground"
2824,"SIX, what a shot. If you miss your length, batsman will make you pay. Full and zooming on the stumps, batsman gets underneath it and blasts it over long-on"
2825,"FOUR, another massive over for Mumbai. Again, Sandeep offers a full toss, Karn frees his shoulders and clouts it wide of long-on, Maxi runs to his left and tries to keep the ball back in play but in vain"
2826,"SIX, what a clanger. Maxwell, what have you done? Knuckle ball from Mohit, on a fuller length outside off, Karn tonks it straight down the ground, Maxwell prances to his left from long-off, gets both hands but palms it over the ropes. Clumsy!"
2827,"FOUR, this match ain't over folks. To rub salt into the wounds and other jazz. Mohit goes wider of off, Karn protracts his hands and lifts it over cover-point"
2828,"FOUR, this is getting better and better for Mumbai. Full toss and outside off, Karn throws the kitchen sink and gets an outside edge that runs past short third man"
2829,"out Bowled!! Bowled him. Just when Mumbai keep belting boundaries, Punjab manage to strike back with plucking wickets. Let's call it a nomenclature, Mohit's back-of-the-hand slower ball, aiming at the stumps. Karn swung at it wildy, misses and is castled. Mohit roars in joy. batsman b bowler 19(6) [4s-3 6s-1]"
2830,"SIX, wow. batsman is still keeping Mumbai in the hunt. Pivots back and swats this short ball over deep mid-wicket"
2831,"FOUR, oh my. That's a punch, a ramp and an upper cut all in one. bowler looks to climb onto his neck. A typical Caribbean back footed stride and an open batted punch to race it through the cordon"
2832,"1 run, Mohit seals the deal for his team. Punjab win by 7 runs. Again, fires it in the blockhole, batsman just about gets his bat down and digs it out"
2833,"1 run, has switched to the yorkers. Bang on the sticks. A dance away and down in the same motion to half-drill, half-squeeze it down to mid-off. A direct hit and you never know. Because there isn't one"
2834,"FOUR, a wasted line. Ruins what was well on the course of turning out to be a top over. Down leg and helped along getting it past the man at short fine"
2835,"FOUR, all timing. And glory. Nicely pitched up, very friendly. The reply isn't am afraid. A perfect approach to the pitch of the delivery and a smear to time the pants off it. Through the covers"
2836,"FOUR, okay now a few runs for the luck brigade. Nicely snaking up and a desperate/compulsive pull takes the top edge and flies in no man's land. Over the keeper's head"
2837,"FOUR, pile on the misery. bowler slips, tumbles, falls down and then gets up to see the ball hitting the fence. A slip onto the hips and nurdled away fine enough. Mumbai well on course"
2838,"SIX, another Sharma. Another dispatch. Right in the slot. A shimmy across from batsman to top it up with a full-blooded tonk. Several rows into the long-on stands"
2839,"SIX, he's toying around here. The mind-reader reads the slower one and the fullish length on the stumps. Deals with a backing away and a sinking lofted power over the covers"
2840,"1 run, the time-out almost brings a wicket with it. Smashed down, doesn't bother keeping it down and pops in and out the man at long-off lined up. Ah the dew. And the drop. Mohit Sharma the man"
2841,"SIX, there are some ways to bring up a half-century and there is this way. A gallop down the track, right forward and swings his bat massively to deposit this well into the stands down the ground. His #11 I'm told"
2842,"SIX, and he celebrates with some more. More of the charges down, more of the swings through the line. The zone of having fun here"
2843,"FOUR, oh the cheek. The deft. Attempts the scoop and nails it. Off the middle of the blade, nothing streaky about this one as he guides it past the keeper"
2844,"FOUR, now conventional. But keeps thudding the fence. Forces it full, forces it wide and amplified further with Parthiv backing away and smacking the drice off a knee. Sliced over a leaping Ishant at short third"
2845,"FOUR, short. Down leg. But Parthiv refuses to relent. Keeps the dancing shoes on. Gets inside the line and pulls it away past the lurking short fine. This is murder. Call 100"
2846,"out Caught by Vohra!! That's the end of the fun. Continues moving away, but for a change Mohit learns his bit following him with a pacy length stuff. Gets too big on him as he tries powering it away once again with a loft. Miscues it all ends up and the balloon in the air is taken. Finally. At cover. Something's arrested. batsman c Vohra b bowler 38(23) [4s-7]"
2847,"FOUR, a new man, the same old line down leg and the same old response. Doesn't matter that it is only the first ball he's facing. Whips it away with enough chunk of wood on it to take it behind square"
2848,"out Caught by Guptill!! A bird, a plane. Oh no. That's Martin Guptill. What in every world could only have been a smoke down the ground with batsman in his mood dancing and tonking sucked out by the only man who could have taken this. And he does it with a jump, a one-handed raise and taking it as cleanly as it could. Forget the boundary run-ins and throw outs. This is sheer timing. batsman c Guptill b bowler 59(32) [4s-5 6s-4]"
2849,out Samson Run Out!! Poor running. Absolutely poor. batsman steers it to the left of backward point. The ball goes at a good bounce for Stokes to pick it up and hit the stumps direct. Sanju Samson was nowhere in the frame and Ananthapadmanabhan has his finger up. Sanju Samson walks back disappointed and an end of a good first over. Samson run out (Stokes) 2(4)
2850,"SIX, top-edge and six, too predictable from Shardul, banged in short and well outside off, batsman was swiveling across on the pull - was in no control, the top-edge went high and behind square on the on-side, just has enough to clear Unadkat at deep backward square leg"
2851,"SIX, cracking shot, much better from batsman, length delivery from Shardul, batsman backs away, opens up his arms and lofts it high and into the sight-screen. DD are off and running once again"
2852,"FOUR, lovely shot, width on offer from bowler, batsman backs away and slaps it square on the off-side. Tripathi got across to his left from deep point, puts in the slide and drags the ball back in - but the ball slowly rolls back onto the ropes"
2853,"out Caught by Dhoni!! 101st dismissal for MS and he took it as cool as a cucumber. He's still one of the best keepers in the game - and this catch shows why. This was another slower short ball from bowler, batsman made room outside leg and was looking to flay it through mid-wicket, played the shot a tad too early, got a fat top-edge. For a moment he seemed to be safe, but there was that man. MS ran backwards, kept his eyes on the ball, timed his leap well and completed a one-handed catch - with his right glove. bowler clenches his fists in delight - as much as a keeper's wicket as it was for the bowler there. batsman c Dhoni b bowler 27(21) [4s-1 6s-2]"
2854,"out Stumped!! Dhoni is confident about a stumping. When he's confident, it means he's got his man. Looks like Anderson's foot is in the air, he did well to drag back in, but couldn't get his feet down. OUT is the call. Excellent work from MS, quick hands did the trick, but that was very well bowled by Sundar as well. He slowed down the pace, dragged Anderson forward on the drive and did him in with the turn. Anderson was a long way out of the crease, he did try to drag his foot back in - but comes second best to the Indian keeper. batsman st Dhoni b bowler 3(5)"
2855,"1 run, tossed up on the stumps, nudged away behind square on the on-side, raises his 8th IPL fifty, his first this season"
2856,"2 runs, a direct hit and even Cummins' dive wouldn't have saved him. MS let the ball go and Cummins was sprawling all over the place. Coming to the ball, on a good length and just outside off, eased away backward of square on the off-side"
2857,"SIX, much needed for the Daredevils, length ball on offer from bowler, Cummins backs away and clubs it over mid-wicket, went sailing over the ropes at mid-wicket for a maximum"
2858,"out Bowled!! That's a terrific comeback from the England star all-rounder, he slips in the leg-stump yorker - bowled at pace as well. Cummins was making room for the shot, has to jam his bat down - too late and the leg-pole goes for a walk, first wicket of the night for bowler and Pune continue to chip away. batsman b bowler 11(6) [6s-1]"
2859,"FOUR, lovely shot, width on offer from bowler, Karun arches back, waits on the ball and cuts it late - gets it into the gap behind point and beats the fielder getting across to his left from deep point"
2860,"SIX, cracking shot, back of a length and just outside off, batsman was prodding forward, uses the bottom hand and smashes it high and over long-off, has enough to clear the ropes on the full"
2861,"FOUR, expensive over from bowler, topo short and at his pace it's easy pickings for the batsman. Karun waits on it and pulls it in front of square on the on-side. Long-on has no chance of cutting it off"
2862,"out Caught by Unadkat!! Excellent catch from Unadkat - he seemed to have lost it under the lights, puts in the full-stretch dive and just about holds on. Second wicket for bowler and Pune are finishing strong. It was a length ball from bowler, batsman backed away on the heave, ended up getting a fat top-edge that spiralled in the air and behind Dhoni. Unadkat ran across to his left from short third man, called for the catch, seemed to have misjudged it - but held on with a dive. batsman c Unadkat b bowler 64(45) [4s-9]"
2863,"2 runs, that's a chance and Sundar has dropped it, very similar to that of bowler's catch, this was another top-edge that went high and behind the keeper. Sundar ran across, got to the ball, seemed to have slipped at the last moment and drops it"
2864,"out Caught by Stokes!! That's a superb catch from Stokes - he hasn't just saved a six, but he has got bowler a wicket as well. Watches the ball all the way at the deep mid-wicket boundary, lunges behind, holds onto the overhead catch - realises that he was going over the ropes, chucks the ball back into play, crosses the ropes, comes back in and takes the catch. Coming to the ball, it was a length delivery on the stumps, batsman backed away and swung hard - looked like he had got plenty behind it - only for Stokes to spoil his party. batsman c Stokes b bowler 2(4)"
2865,"out Caught by Dhoni!! Second wicket goes down and Delhi are in trouble early on. Poor shot selection from batsman. Flashes away from the body with no feet movement to a back of a length delivery outside off and gets a thick outside edge through to Dhoni, who won't drop those. bowler has his hands up in joy. batsman c Dhoni b bowler 3(4)"
2866,"FOUR, this is excellent improvisation from batsman. Gets well outside the line and sweeps it over short fine leg for a boundary"
2867,"FOUR, good batting that from batsman. His eyes lit up for the tossed up delivery outside off and a perfect execution of the slog sweep. Finds the cow corner fence on the bounce"
2868,"SIX, phew! That's been nailed for six. Short delivery from round the wicket. batsman rocks on the back foot quicker and dispatches it with a pull over deep square leg fence. Pure power that from batsman"
2869,"FOUR, batsman showing his class now. Sees the width outside off and helps it wide of short third man. With the field inside the circle on the off-side, this shot was always on the cards"
2870,"FOUR, batsman is in the zone today. He is seeing the ball well and has the awareness of the field. Makes room to this short delivery and pulls it well over the infield. The ball bounces just once before crashing into the ad boards"
2871,"FOUR, bowler tries to attack the pads of batsman. He backs away and chips it over mid-wicket. Fielder from deep square leg tries to get across, but fails to stop the ball from rolling over"
2872,"FOUR, batsman gets into the act now. Full and straight, batsman goes through the line and drills it straight down the ground. Smith had no chance of stopping that at mid-on"
2873,"FOUR, nicely done. Thakur slips one down the leg. batsman goes low and helps it down to fine leg. Fine leg was inside the circle and the ball raced away to the fence in no time"
2874,"FOUR, Thakur is struggling with his line. Left-right combination is making it much difficult for him to stick to one line. Now he slips onw down the legs of batsman, who helps it down to fine leg with a flick"
2875,"FOUR, 50-run stand comes up for the duo with a top shot from batsman. Wasn't all that short, batsman quickly jumps on the back foot and cuts it square of the wicket. The fielder in the deep was too square and had no chance of stopping that"
2876,"FOUR, exactly what he could have done with the third ball this over. Short and wide again, batsman gets his back foot across and slaps it past backward point. The ball rockets to the fence"
2877,"FOUR, rank long hop from bowler. Gets what it deserves. batsman rocks on the back foot and pulls it hard along the ground. Splits deep backward square leg and deep mid-wicket to perfection"
2878,"SIX, wrong 'un from bowler and how well did batsman read that. Goes on his knee and slog sweeps it to send it deep into the mid-wicket stands. That's a huge hit"
2879,out Caught by Christian!! batsman tries it again and loses his wicket. He will be disappointed with that after being batting so well for his 36. Tries to get under the ball and slog sweep. Wasn't to be. The ball came right of the toe end for Christian to settle under it wide of long-on. batsman c Christian b bowler 36(22) [4s-4 6s-2]
2880,"out Bowled!! What a ball. Cleans up batsman. Has this man retired, bowler? Wowed I am. Pitches up and swings it in to find the gap between batsman's pad and bat. For all that peach from bowler, batsman too is slightly responsible there. Went for the drive and pushed the defence a bit, leaving the space for the ball to sneak in. What a start for DD! batsman b bowler 0(1)"
2881,"FOUR, this one does not swing. And hence there is no exaggerated shuffle from batsman. Stands his ground and flays the drive through cover. Races away"
2882,"FOUR, batsman shows how to tackle the inswinger from bowler. Steps down and clips with the swing to bisect the field between mid-on and mid-wicket"
2883,"FOUR, slower ball. batsman does not bother getting closer to the ball. All hands from him as he drives through extra cover. Zaheer has his hands on bowler's shoulder. Must be some words of wisdom"
2884,"FOUR, another iffy slog which results in a miscue, but Tiwary gets enough on it this time to drag the ball over wide mid-on and into the boundary. That's precisely why he was targeting this shot. Mid-on is inside the ring, and with a little bit of fortune, he's able to muscle it over him"
2885,"FOUR, that's brilliantly bowled, and bowler is so unlucky here. Having not given anything by way of flight all through the over, he tosses up a googly and dangles it wide of off to reap the pay-off for his pressure. batsman bites, has an almighty swish at it but he is trying to drag the ball into the on-side against the turn, a ball which is very wide in the first place. The edge is found but it zooms over the man at slip"
2886,"FOUR, hoho, fierce! Absolutely fierce from batsman. He's just showed Cummins who's the boss. He gives charge, and accordingly Cummins bangs it in short. But batsman isn't backing down. He thumps the ball wide of long-on into the boundary"
2887,"1 run, that could have been a sensational catch, but Samson cannot cling on! bowler begins with a half-tracker which should have been deposited in the stands, but Tiwary doesn't go through with the pull. He checks his shot, might have stopped on him. It travels low and quick in front of Samson at deep mid-wicket. He runs in full throttle, dives forward nearly plucks it off"
2888,"SIX, he's starting to turn it on now. That's not in the slot, let me tell you. And he hasn't used his feet either. Just plants the front foot down with authority and swings through the line over long-on. Brutal batting"
2889,"FOUR, smart from Tiwary. bowler generally bowls it quicker through the air, so Tiwary smartly stoops across on the back knee, uses the pace and paddles it round the corner. His placement is spot on, splitting the dives from short fine and long leg"
2890,"1 run, dropped by Nair! Oh dear. This, right here, could be game defining, considering how this partnership is starting to flourish. Tiwary wants to take on a cutter from bowler, but the wily old veteran has angled it so wide that Tiwary has to really reach out. The cut on the ball catches a thick top-edge and lobs up to the right of point. Nair never really looked settled under the ball, was still on the move as it came down and makes a mess of it"
2891,"SIX, he has flogged it off his pads for a six over mid-wicket. All muscle from batsman. I don't think he's got that in the middle at all, but it still clears the boundary comfortably"
2892,"out Caught by Corey Anderson!! bowler misses the blockhole and delivers a full toss, batsman advances and converts it into a slightly higher full toss than he would have liked. It takes him by surprise a bit. He swings hard, it hits him high on the bat and he ends up slicing it straight down to long-off. Had he stayed his ground, would have been a much simpler ball to hit. batsman c Corey Anderson b bowler 33(25) [4s-3 6s-2]"
2893,"out batsman Run Out!! That's a very, very rare occurence. MS batsman caught napping is not something which happens very often. It doesn't happen at all. The slower ball deflects off batsman's thigh towards short fine leg, and batsman is just ambling across not expecting Shami to go at his end. Once batsman realizes the danger, he motors through and even puts in a dive, but he's caught short by a few inches or so as Shami rockets the stumps down. Big wicket. batsman run out (Shami) 5(5)"
2894,"out Lbw!! batsman looks surprised by the decision, but that's absolutely dead in front. That's crashing into the middle of middle. Full and straight from bowler, batsman tries to lap it fine but misses and the ball crashes into his pad. Gone! batsman lbw b bowler 3(3)"
2895,"SIX, they needed that. They definitely needed that. A nothing ball from Cummins, gaining no height on the short of length delivery. It sits up for Tiwary and he pulls it away into the stands backward of square"
2896,"SIX, oh boy, do we have something special on tonight?! Back to back sixes. This one is a sizzler over extra-cover. Another poor delivery from Cummins, bowling it full in the slot around off. Tiwary clears his front leg and smokes a stunning drive inside out"
2897,"leg byes, FOUR, away to the boundary, but that's not enough. What irony. The one ball which Cummins has nailed into the blockhole has gone to the ropes. Tiwary is beaten by it, the ball hits his boot, misses leg-stump by a whisker and leaves the keeper wrong-footed. But it's game over with eight needed off one"
2898,out Bowled!! That's it. Bang into middle stump. Cummins seals it and can afford a smile. Those two sixes cranked up the pressure but the young Aussie recovered well. batsman b bowler 60(45) [4s-5 6s-3]
2899,"1 run, we will have to wait to ascertain what happened there? Shreyas Iyer has done a commendable job to save a six. Could not control the momentum and threw the ball away, else he could have come back to catch that one - like Stokes did earlier in the day. Short ball and batsman pulls off the back foot. Looks good to clear the fence but Iyer runs to his right from deep square leg, leaps and parries it back into play"
2900,"FOUR, steps down and almost loses the balance but does well to slap it past point. How often does he do he something like that? Pretty often"
2901,"SIX, tossed up ball and batsman makes full use of that. Skips down and goes with the loft. Never intended to hit that hard, clears the long-off fence with ease"
2902,"FOUR, and now bowler drops it short. batsman uses the depth of the crease and cuts past point"
2903,"out Caught by Pant!! Loud appeal for caught behind from the keeper, given. bowler did not look interested at first but joined later seeing the men from behind yell their throats out. Was a back of a length delivery that went across batsman, who wanted to cut closer to his body. Top edges to the keeper. batsman c Pant b bowler 7(6) [4s-1]"
2904,"FOUR, what a shot. Lets the ball shape away and then goes back to punch through cover. Found the gap with ease"
2905,"FOUR, just a little push but the sound it made was a proof of superb timing. batsman got on the front foot and then beat the man at cover"
2906,"FOUR, too much risk involved for a single. Oh, wait. Shami at fine leg has made sure that batsman is rewarded well for the risk, Tiwary had taken his front foot long way across to fetch the sweep from off and middle. Was lucky to have connected"
2907,"SIX, against the turn and run of play. Leg-spinner and batsman steps down, keeps himself away from the pitch of the ball, swings hard and sends it over cow corner"
2908,"out Lbw!! batsman is dejected. Cannot believe his luck. Was there some edge? It definitely hit him high on leg there. But he was on the back foot having missed this skidder from bowler, who pumps his fist as soon as the umpire acknowledges the lbw appeal. What a wicket. Was there a time-out before this ball? Never mind. batsman lbw b bowler 38(32) [4s-4 6s-1]"
2909,"FOUR, fuller ball on the legs of batsman, who gets the toe-edge while trying to flick. The ball races to the third man fence"
2910,"FOUR, first four of the innings. Beats the five men on the off-side with a cracking cut. The width was there and he pounced on that beating a diving cover-point"
2911,"FOUR, the slip was there for batsman's first ball. But he was taken off for this one and guess what the ball goes right through that gaping hole. Good delivery from bowler, hitting a length and getting bounce, the edge was found but there was no-one to catch and it runs away to the third man fence"
2912,"SIX, picks the slower delivery and deposits the pull over the deep backward square leg fielder. Not that short, but with a half-swivel batsman pulled that meatily and got himself a biggie"
2913,"1 run, 50 for batsman now. Cracked through cover"
2914,"FOUR, mowed from outside off and beats long-on to his right. Knelt down and hit it, not with great timing but good enough to get it in the gap and four more"
2915,out Lbw!! Gone. The Nelson has struck. A fast skidding delivery that rushes past batsman's pull and strikes him bang in front of middle. Too quick for Smith's shot. Easy decision for the umpire. batsman lbw b bowler 54(33) [4s-7 6s-2]
2916,"FOUR, very sloppy from Dhawan. Attacked the ball in trying to prevent the second and gives away two more. Thrashed to him and in running to his left from sweeper, he lets it go through his hands. A slight bobble before the ball came to him, but still should've been stopped"
2917,"out Caught by Naman Ojha!! Two down. The slower delivery and batsman can only slog it high up in the air, a fat top edge, Naman Ojha calls for it and takes it with ease. batsman c Naman Ojha b bowler 61(40) [4s-5 6s-4]"
2918,"out Caught by Dhawan!! What a wicket that is. Two in the over for bowler. A game-changing over? Will only know once the match is done. But certainly team now get a chance to come back into the game. Wasn't a great delivery, off-pace and down leg, but batsman found Dhawan at deep backward square. After taking the catch, he puts a finger to his lip and points to the crowd suggesting to keep quiet. Typical Dhawan. batsman c Dhawan b bowler 2(5)"
2919,"out Caught by Deepak Hooda!! Wow. Wow. Three wickets in quick time and suddenly the score isn't looking that great. High full toss, was meant to be hit for six but batsman mistimed that and looked like it was falling in front of the fielder, but Hooda came in and snaffled that low and diving forward. bowler can't contain his smile. Can't believe his luck either. DK just puts his head down in disappointment, unable to believe the shot he played. batsman c Deepak Hooda b bowler 0(1)"
2920,"out Bowled!! Atrocious batting from batsman. Utterly and truly hopeless. His side have lost three wickets inside two overs and him being so experienced, is expected to bat till the 20th over. But what does he do? Swings across the line, without picking the googly. Past his shot and into the stumps. bowler goes off on his trademark celebration. Some collapse this is. batsman b bowler 2(3)"
2921,"FOUR, smashed. Too full and batsman used his levers to bullet it past the umpire. Who did well to get out of the way"
2922,"FOUR, low full toss and sliding down, helped past backward square leg. Easy delivery to get and batsman doesn't miss out"
2923,"out Bowled!! Cleaned up. Full and straight, with a late tail back in. batsman swings to leg and can't connect. The ball clips the leg stump and bowler punches the air in delight. batsman b bowler 8(10) [4s-1]"
2924,"out Bowled!! Two in two. Before this ball, bowler was talking to Bhuvi as he set the field. Whatever he spoke, he executed to perfection. Inswinger, lands on a length and goes through the bat and pad gap of batsman. Too big a gap and the ball finds its way through to the stumps. bowler ends with a four-fer. What a story he has been this IPL. The whole of Old City in Hyderabad will be tucking into their biriyanis watching this. Certainly made his folks proud. batsman b bowler 0(1)"
2925,"FOUR, awkwardly for Warner and he can't stop it. A high full toss, swung away by batsman, bounces just in front of his body and he can't even get a hand on that. Slips away from his grasp"
2926,"out Bowled!! Brilliant yorker from Kaul. Late swing back in, batsman tried to squeeze it out, but the ball escaped past the bat, may have even kissed it, not too sure about that and then hit the off stump. Too good for a tailender. batsman b bowler 0(6)"
2927,"out Bowled!! Exceptional from bowler. Jadeja is on his haunches at the other end. Looking disappointed. Full and swinging back in, through the attempted whip of Praveen Kumar. Rushed past the bat. I predict a first baller for Munaf too. LBW or bowled. batsman b bowler 1(2)"
2928,"out Bowled!! You don't need to be a genius at this. Anyone can see that batsman has no chance against the swinging and pacy bowler. Especially at the death. batsman doesn't get in line, just stands outside leg and wafts his bat through the line. The late reverse swing takes the leg stump out and sends it out of its groove. That's clinical execution at the death. Perhaps the best exponent with the ball when bowling at the end in the world. batsman b bowler 0(1)"
2929,"SIX, ""he is a puller"" says the great Sanjay M on air. I have to agree with that. Anything near his range and he instinctively goes for the pull, a top edge on this but it went all the way and even if there was a fielder, it was going over his head. On the swivel and then got it away"
2930,"FOUR, four more. Again the pull. Can't bowl into his strengths. Into his range. This short ball sits up for him and he unleashes the Brian Lara-esque one-legged short arm-jabbed pull. Beats short fine to his right and races away"
2931,"FOUR, short and wide outside off, batsman rolled his wrists on the cut and got it down, beats extra cover and gets another boundary"
2932,"FOUR, too full this time from bowler and batsman lofts over mid-off. bowler is bleeding here and Ishan has raced to 31 off 13"
2933,"FOUR, smashed past the stumps at the other end. Too full and batsman has drilled that in a flash. Rocketed away"
2934,"1 run, fired in on the stumps, batsman drives and gets a single to long-on"
2935,"SIX, slightly slower and on the stumps, batsman plays his favorite slog to leg, connects cleanly and it goes all the way over mid-wicket. Can't give him the room to swing his arms"
2936,"FOUR, and now four more. bowler fired that fuller and faster on the stumps, a powerful drive and Warner at mid-off is slightly wide, so can't get there and once he did, didn't dive. Smith is hurting team"
2937,"SIX, given as six. Just landed on the ad-cushions. A top edge on the short-arm jab and Dhawan was running towards it with his left-hand stretched, attempting to catch it. But it went away from him and landed flush on the cushion"
2938,"SIX, maiden fifty for batsman. Raina stands and applauds. Picks the wrong-un and pulls, it was catchable for Nabi at the deep mid-wicket fence, but he was mindful of the ropes behind him, goes reverse-cup and can't catch it. Can't push it back either. bowler doesn't like that effort from his countryman"
2939,"SIX, that is the flattest hit for six. Rocks back and muscles the pull, over mid-wicket, picked the shortish delivery and was onto it in a flash. Sailed into the crowd"
2940,"FOUR, cute little paddle now. The line is down leg and with short fine inside that's not the way to go, batsman gets sufficient bat on that and beats the man inside the ring"
2941,"FOUR, batsman is a monster when he gets going that is. Stands on the crease and butchers this slowish off-cutter that sits up, beats extra cover with ease"
2942,"2 runs, punched to sweeper's left and batsman takes on Vijay to come back for the second. Good running"
2943,"FOUR, everything going team's way. A genuine outside edge and it has flown to the third man fence. Flashed at a length delivery outside off and got a thick edge"
2944,"FOUR, first four of the innings. Beats the five men on the off-side with a cracking cut. The width was there and he pounced on that beating a diving cover-point"
2945,"FOUR, the slip was there for batsman's first ball. But he was taken off for this one and guess what the ball goes right through that gaping hole. Good delivery from bowler, hitting a length and getting bounce, the edge was found but there was no-one to catch and it runs away to the third man fence"
2946,"SIX, picks the slower delivery and deposits the pull over the deep backward square leg fielder. Not that short, but with a half-swivel batsman pulled that meatily and got himself a biggie"
2947,"1 run, 50 for batsman now. Cracked through cover"
2948,"FOUR, mowed from outside off and beats long-on to his right. Knelt down and hit it, not with great timing but good enough to get it in the gap and four more"
2949,out Lbw!! Gone. The Nelson has struck. A fast skidding delivery that rushes past batsman's pull and strikes him bang in front of middle. Too quick for Smith's shot. Easy decision for the umpire. batsman lbw b bowler 54(33) [4s-7 6s-2]
2950,"FOUR, very sloppy from Dhawan. Attacked the ball in trying to prevent the second and gives away two more. Thrashed to him and in running to his left from sweeper, he lets it go through his hands. A slight bobble before the ball came to him, but still should've been stopped"
2951,"out Caught by Naman Ojha!! Two down. The slower delivery and batsman can only slog it high up in the air, a fat top edge, Naman Ojha calls for it and takes it with ease. batsman c Naman Ojha b bowler 61(40) [4s-5 6s-4]"
2952,"out Caught by Dhawan!! What a wicket that is. Two in the over for bowler. A game-changing over? Will only know once the match is done. But certainly team now get a chance to come back into the game. Wasn't a great delivery, off-pace and down leg, but batsman found Dhawan at deep backward square. After taking the catch, he puts a finger to his lip and points to the crowd suggesting to keep quiet. Typical Dhawan. batsman c Dhawan b bowler 2(5)"
2953,"out Caught by Deepak Hooda!! Wow. Wow. Three wickets in quick time and suddenly the score isn't looking that great. High full toss, was meant to be hit for six but batsman mistimed that and looked like it was falling in front of the fielder, but Hooda came in and snaffled that low and diving forward. bowler can't contain his smile. Can't believe his luck either. DK just puts his head down in disappointment, unable to believe the shot he played. batsman c Deepak Hooda b bowler 0(1)"
2954,"out Bowled!! Atrocious batting from batsman. Utterly and truly hopeless. His side have lost three wickets inside two overs and him being so experienced, is expected to bat till the 20th over. But what does he do? Swings across the line, without picking the googly. Past his shot and into the stumps. bowler goes off on his trademark celebration. Some collapse this is. batsman b bowler 2(3)"
2955,"FOUR, smashed. Too full and batsman used his levers to bullet it past the umpire. Who did well to get out of the way"
